id,title,description,duration,lugar,rutapdf,rutaimg
1,Fundamentos de R  |  10 Hrs,15 al 19 de junio de 2026  17:00 a 19:00 hrs,1 Semana     ,Quiosco E  Sala 6,02 Fundamentos de R _rev.pdf,R.jpg
2,Lógica de Programación en JavaScript  |  10 Hrs,15 al 19 de junio de 2026  10:00 a 12:00 hrs,1 Semana      ,Quiosco I  Sala 2,04 Lógica de Programación en JavaScript_rev.pdf,JS.jpg
3,Introducción a las Bases de Datos   |  10 Hrs,15 al 19 de junio de 2026  12:00 a 14:00 hrs,1 Semana      ,Quiosco M  Sala 7,12 Introducción a Bases de Datos_rev.pdf,25.jpg
4,Fundamentos de programación con Python  |  10 Hrs,15 al 19 de junio de 2026  15:00 a 17:00 hrs,1 Semana      ,Quiosco M Sala 8,13 Fundamentos de Programacion con Python_rev.pdf,14.jpg
5,Excel basico  |  10 Hrs,15 al 19 de junio de 2026  10:00 a 12:00 hrs,1 Semanas    ,Quiosco M  Sala 6,14 Excel básico_rev.pdf,19.jpg
6,Programación en VHDL  |  10 Hrs,15 al 19 de junio de 2026  15:00 a 17:00 hrs,1 Semana      ,Quiosco M  Sala 6,15 Programacion en VHDL_rev.pdf,15.jpg
7,Autocad básico  |  10 Hrs,15 al 19 de junio de 2026  12:00 a 14:00 hrs,1 Semana      ,Quiosco M  Sala 8,10 Autocad básico_rev.pdf,Autocad.jpg
8,Proteus  |  10 Hrs,15 al 19 de junio de 2026  10:00 a 12:00 hrs,1 Semana     ,Quiosco T  Sala 9,21 Proteus (versión Free Trial)_rev.pdf,proteus.jpg
9,Fundamentoa de Producción musical con Ableton Live  |  10 Hrs,15 al 19 de junio de 2026  12:00 a 14:00 hrs,1 Semana      ,Quiosco T  Sala 9,25 Fundamentos de Produccion musical con Ableton Live_rev.pdf,Ableton Live.jpg
10,De la Protoboard al Codigo: Electronica con Tinkercard  |  10 Hrs,15 al 19 de junio de 2026  10:00 a 12:00 hrs,1 Semana      ,Quiosco M  Sala 8,34 De la Protoboard al Codigo Electrónica con Tinkercad_rev.pdf,Tinkercad.jpg
11,Construcción de Fuentes de Alimentación Simétrica y Regulada  |  10 Hrs,15 al 19 de junio de 2026  10:00 a 12:00 hrs,1 Semana     ,Quiosco M  Sala 7,28 Construccion de Fuentes de Alimentacion Simétrica y Regulada_rev.pdf,fuentes.jpg
12,Introducción al Laravel |  10 Hrs,15 al 19 de junio de 2026  10:00 a 12:00 hrs,1 Semana      ,Quiosco E Sala 1,31 Introduccion al Laravel_rev.pdf,Laravel.jpg
13,Excel avanzado  |  20 Hrs,15 al 26 de junio de 2026  12:00 a 14:00 hrs,2 Semanas      ,Quiosco M  Sala 6,18 Excel Avanzado_rev.pdf,19.jpg
14,Fundamentos de Unity para Videojuegos |  10 Hrs,29 de junio al 3 de julio de 2026  12:00 a 14:00 hrs,1 Semana  ,Quiosco I Sala 1,29 Fundamentos de Unity para videojuegos_rev.pdf,unity.jpg
